,index,year,country,population,color
0,0,1940,China,511303712.0,"rgb(255, 0, 0)"
1,1,1940,India,373766276.0,"rgb(252, 232, 3)"
2,2,1940,United States,129417367.0,"rgb(75, 120, 184)"
3,3,1940,Japan,73591941.0,"rgb(191, 63, 191)"
4,4,1940,Germany,71740083.0,"rgb(0, 0, 0)"
5,5,1940,Indonesia,61843190.0,"rgb(255, 124, 31)"
6,6,1940,United Kingdom,48108804.0,"rgb(0, 36, 125)"
7,7,1940,Italy,43602046.0,"rgb(131, 14, 173)"
8,8,1940,Brazil,41568218.0,"rgb(65, 217, 209)"
9,9,1940,France,40337546.0,"rgb(227, 98, 158)"
