,country,year,population
2049,Bangladesh,1900,26849595.0
2050,Bangladesh,1901,26958449.0
2051,Bangladesh,1902,27067609.0
2052,Bangladesh,1903,27177073.0
2053,Bangladesh,1904,27286841.0
2054,Bangladesh,1905,27396914.0
2055,Bangladesh,1906,27507290.0
2056,Bangladesh,1907,27617969.0
2057,Bangladesh,1908,27728950.0
2058,Bangladesh,1909,27827316.0
2059,Bangladesh,1910,27913022.0
2060,Bangladesh,1911,27986023.0
2061,Bangladesh,1912,28046274.0
2062,Bangladesh,1913,28093731.0
2063,Bangladesh,1914,28141120.0
2064,Bangladesh,1915,28188438.0
2065,Bangladesh,1916,28235684.0
2066,Bangladesh,1917,28282858.0
2067,Bangladesh,1918,28395953.0
2068,Bangladesh,1919,28509501.0
2069,Bangladesh,1920,28623503.0
2070,Bangladesh,1921,28737961.0
2071,Bangladesh,1922,28852876.0
2072,Bangladesh,1923,28968251.0
2073,Bangladesh,1924,29084088.0
2074,Bangladesh,1925,29200387.0
2075,Bangladesh,1926,29317152.0
2076,Bangladesh,1927,29434383.0
2077,Bangladesh,1928,29552084.0
2078,Bangladesh,1929,29765580.0
2079,Bangladesh,1930,30077163.0
2080,Bangladesh,1931,30489169.0
2081,Bangladesh,1932,31003982.0
2082,Bangladesh,1933,31624037.0
2083,Bangladesh,1934,32256494.0
2084,Bangladesh,1935,32901598.0
2085,Bangladesh,1936,33559605.0
2086,Bangladesh,1937,34230771.0
2087,Bangladesh,1938,34915359.0
2088,Bangladesh,1939,35529699.0
2089,Bangladesh,1940,36071677.0
2090,Bangladesh,1941,36539131.0
2091,Bangladesh,1942,36929851.0
2092,Bangladesh,1943,37241574.0
2093,Bangladesh,1944,37555929.0
2094,Bangladesh,1945,37872937.0
2095,Bangladesh,1946,38192621.0
2096,Bangladesh,1947,38515003.0
2097,Bangladesh,1948,38840107.0
2098,Bangladesh,1949,39243938.0
2099,Bangladesh,1950,39728540.0
2100,Bangladesh,1951,40548596.0
2101,Bangladesh,1952,41426888.0
2102,Bangladesh,1953,42329284.0
2103,Bangladesh,1954,43282036.0
2104,Bangladesh,1955,44315552.0
2105,Bangladesh,1956,45407672.0
2106,Bangladesh,1957,46560516.0
2107,Bangladesh,1958,47742792.0
2108,Bangladesh,1959,49004964.0
2109,Bangladesh,1960,50396428.0
2110,Bangladesh,1961,51882776.0
2111,Bangladesh,1962,53461664.0
2112,Bangladesh,1963,55094120.0
2113,Bangladesh,1964,56774476.0
2114,Bangladesh,1965,58500156.0
2115,Bangladesh,1966,60265264.0
2116,Bangladesh,1967,62104488.0
2117,Bangladesh,1968,63995656.0
2118,Bangladesh,1969,65866916.0
2119,Bangladesh,1970,67541864.0
2120,Bangladesh,1971,68376208.0
2121,Bangladesh,1972,69346712.0
2122,Bangladesh,1973,71144816.0
2123,Bangladesh,1974,72947808.0
2124,Bangladesh,1975,74700344.0
2125,Bangladesh,1976,76380080.0
2126,Bangladesh,1977,78137792.0
2127,Bangladesh,1978,80007552.0
2128,Bangladesh,1979,81908160.0
2129,Bangladesh,1980,83929768.0
2130,Bangladesh,1981,86154832.0
2131,Bangladesh,1982,88555344.0
2132,Bangladesh,1983,91045480.0
2133,Bangladesh,1984,93534248.0
2134,Bangladesh,1985,95959104.0
2135,Bangladesh,1986,98271752.0
2136,Bangladesh,1987,100490256.0
2137,Bangladesh,1988,102688832.0
2138,Bangladesh,1989,104893672.0
2139,Bangladesh,1990,107147656.0
2140,Bangladesh,1991,109242832.0
2141,Bangladesh,1992,111272104.0
2142,Bangladesh,1993,113418760.0
2143,Bangladesh,1994,115614904.0
2144,Bangladesh,1995,117793336.0
2145,Bangladesh,1996,119876872.0
2146,Bangladesh,1997,122039232.0
2147,Bangladesh,1998,124350472.0
2148,Bangladesh,1999,126754824.0
2149,Bangladesh,2000,129193336.0
2150,Bangladesh,2001,131670488.0
2151,Bangladesh,2002,134139824.0
2152,Bangladesh,2003,136503216.0
2153,Bangladesh,2004,138789728.0
2154,Bangladesh,2005,140912592.0
2155,Bangladesh,2006,142628832.0
2156,Bangladesh,2007,144135936.0
2157,Bangladesh,2008,145421328.0
2158,Bangladesh,2009,146706816.0
2159,Bangladesh,2010,148391136.0
2160,Bangladesh,2011,150211008.0
2161,Bangladesh,2012,152090656.0
2162,Bangladesh,2013,154030144.0
2163,Bangladesh,2014,155961312.0
2164,Bangladesh,2015,157830000.0
2165,Bangladesh,2016,159784576.0
2166,Bangladesh,2017,161793968.0
2167,Bangladesh,2018,163683952.0
2168,Bangladesh,2019,165516224.0
2169,Bangladesh,2020,167420944.0
2170,Bangladesh,2021,169356240.0
2171,Bangladesh,2022,171186368.0
