,country,year,population
2904,Brazil,1900,18058538.0
2905,Brazil,1901,18463951.0
2906,Brazil,1902,18869255.0
2907,Brazil,1903,19274237.0
2908,Brazil,1904,19687910.0
2909,Brazil,1905,20110461.0
2910,Brazil,1906,20542081.0
2911,Brazil,1907,20982964.0
2912,Brazil,1908,21433310.0
2913,Brazil,1909,21892657.0
2914,Brazil,1910,22361184.0
2915,Brazil,1911,22839075.0
2916,Brazil,1912,23326514.0
2917,Brazil,1913,23823693.0
2918,Brazil,1914,24331468.0
2919,Brazil,1915,24850065.0
2920,Brazil,1916,25379715.0
2921,Brazil,1917,25920654.0
2922,Brazil,1918,26470416.0
2923,Brazil,1919,27027899.0
2924,Brazil,1920,27593186.0
2925,Brazil,1921,28166360.0
2926,Brazil,1922,28747505.0
2927,Brazil,1923,29336703.0
2928,Brazil,1924,29937978.0
2929,Brazil,1925,30551576.0
2930,Brazil,1926,31177749.0
2931,Brazil,1927,31816757.0
2932,Brazil,1928,32468862.0
2933,Brazil,1929,33134257.0
2934,Brazil,1930,33813213.0
2935,Brazil,1931,34506006.0
2936,Brazil,1932,35212919.0
2937,Brazil,1933,35934239.0
2938,Brazil,1934,36670335.0
2939,Brazil,1935,37421510.0
2940,Brazil,1936,38188072.0
2941,Brazil,1937,38970337.0
2942,Brazil,1938,39768626.0
2943,Brazil,1939,40633684.0
2944,Brazil,1940,41568218.0
2945,Brazil,1941,42575027.0
2946,Brazil,1942,43657003.0
2947,Brazil,1943,44817135.0
2948,Brazil,1944,46008096.0
2949,Brazil,1945,47230706.0
2950,Brazil,1946,48485805.0
2951,Brazil,1947,49774257.0
2952,Brazil,1948,51096948.0
2953,Brazil,1949,52489682.0
2954,Brazil,1950,53955360.0
2955,Brazil,1951,55591060.0
2956,Brazil,1952,57283340.0
2957,Brazil,1953,59025680.0
2958,Brazil,1954,60827596.0
2959,Brazil,1955,62701036.0
2960,Brazil,1956,64644888.0
2961,Brazil,1957,66660892.0
2962,Brazil,1958,68735928.0
2963,Brazil,1959,70880824.0
2964,Brazil,1960,73092520.0
2965,Brazil,1961,75330008.0
2966,Brazil,1962,77599224.0
2967,Brazil,1963,79915560.0
2968,Brazil,1964,82262800.0
2969,Brazil,1965,84623752.0
2970,Brazil,1966,86979288.0
2971,Brazil,1967,89323288.0
2972,Brazil,1968,91659248.0
2973,Brazil,1969,94000384.0
2974,Brazil,1970,96369888.0
2975,Brazil,1971,98766288.0
2976,Brazil,1972,101194392.0
2977,Brazil,1973,103666904.0
2978,Brazil,1974,106167376.0
2979,Brazil,1975,108700512.0
2980,Brazil,1976,111286504.0
2981,Brazil,1977,113939888.0
2982,Brazil,1978,116664384.0
2983,Brazil,1979,119447304.0
2984,Brazil,1980,122288384.0
2985,Brazil,1981,125168064.0
2986,Brazil,1982,128065104.0
2987,Brazil,1983,130977376.0
2988,Brazil,1984,133888776.0
2989,Brazil,1985,136783184.0
2990,Brazil,1986,139643360.0
2991,Brazil,1987,142466272.0
2992,Brazil,1988,145253984.0
2993,Brazil,1989,148003424.0
2994,Brazil,1990,150706448.0
2995,Brazil,1991,153336448.0
2996,Brazil,1992,155900784.0
2997,Brazil,1993,158440864.0
2998,Brazil,1994,160980480.0
2999,Brazil,1995,163515328.0
3000,Brazil,1996,166037120.0
3001,Brazil,1997,168546704.0
3002,Brazil,1998,171039808.0
3003,Brazil,1999,173486272.0
3004,Brazil,2000,175873712.0
3005,Brazil,2001,178211888.0
3006,Brazil,2002,180476688.0
3007,Brazil,2003,182629280.0
3008,Brazil,2004,184722048.0
3009,Brazil,2005,186797344.0
3010,Brazil,2006,188820688.0
3011,Brazil,2007,190779456.0
3012,Brazil,2008,192672320.0
3013,Brazil,2009,194517552.0
3014,Brazil,2010,196353504.0
3015,Brazil,2011,198185296.0
3016,Brazil,2012,199977712.0
3017,Brazil,2013,201721776.0
3018,Brazil,2014,203459648.0
3019,Brazil,2015,205188208.0
3020,Brazil,2016,206859584.0
3021,Brazil,2017,208504960.0
3022,Brazil,2018,210166592.0
3023,Brazil,2019,211782880.0
3024,Brazil,2020,213196304.0
3025,Brazil,2021,214326224.0
3026,Brazil,2022,215313504.0
