,country,year,population
4334,China,1900,395929430.0
4335,China,1901,397991980.0
4336,China,1902,400101986.0
4337,China,1903,402259874.0
4338,China,1904,404429383.0
4339,China,1905,406610574.0
4340,China,1906,408803510.0
4341,China,1907,411008255.0
4342,China,1908,413224872.0
4343,China,1909,415905832.0
4344,China,1910,419058430.0
4345,China,1911,422690056.0
4346,China,1912,426808190.0
4347,China,1913,431420404.0
4348,China,1914,436082439.0
4349,China,1915,440794834.0
4350,China,1916,445558131.0
4351,China,1917,450372881.0
4352,China,1918,455336427.0
4353,China,1919,459658818.0
4354,China,1920,463330522.0
4355,China,1921,466341893.0
4356,China,1922,468683169.0
4357,China,1923,470344471.0
4358,China,1924,472011663.0
4359,China,1925,473684764.0
4360,China,1926,475363795.0
4361,China,1927,477048778.0
4362,China,1928,478739734.0
4363,China,1929,480666438.0
4364,China,1930,482831090.0
4365,China,1931,485235901.0
4366,China,1932,487883101.0
4367,China,1933,490774936.0
4368,China,1934,493683911.0
4369,China,1935,496610129.0
4370,China,1936,499553692.0
4371,China,1937,502514702.0
4372,China,1938,505493263.0
4373,China,1939,508423146.0
4374,China,1940,511303712.0
4375,China,1941,514134316.0
4376,China,1942,516914309.0
4377,China,1943,519643036.0
4378,China,1944,522386167.0
4379,China,1945,525143778.0
4380,China,1946,527915947.0
4381,China,1947,530702750.0
4382,China,1948,533504263.0
4383,China,1949,537916245.0
4384,China,1950,543979200.0
4385,China,1951,553614016.0
4386,China,1952,564954496.0
4387,China,1953,577378688.0
4388,China,1954,589936000.0
4389,China,1955,603320128.0
4390,China,1956,616283008.0
4391,China,1957,630003008.0
4392,China,1958,643791552.0
4393,China,1959,652179200.0
4394,China,1960,654170688.0
4395,China,1961,655260352.0
4396,China,1962,664614656.0
4397,China,1963,683903552.0
4398,China,1964,704593792.0
4399,China,1965,723846336.0
4400,China,1966,742948544.0
4401,China,1967,761006272.0
4402,China,1968,780371968.0
4403,China,1969,801430976.0
4404,China,1970,822534464.0
4405,China,1971,843285440.0
4406,China,1972,862840384.0
4407,China,1973,881652096.0
4408,China,1974,899367680.0
4409,China,1975,915124672.0
4410,China,1976,929375936.0
4411,China,1977,942581312.0
4412,China,1978,955138944.0
4413,China,1979,968298944.0
4414,China,1980,982372480.0
4415,China,1981,997259520.0
4416,China,1982,1013483200.0
4417,China,1983,1029226880.0
4418,China,1984,1044172224.0
4419,China,1985,1060240000.0
4420,China,1986,1077770496.0
4421,China,1987,1096851840.0
4422,China,1988,1115889792.0
4423,China,1989,1134414720.0
4424,China,1990,1153704192.0
4425,China,1991,1170626176.0
4426,China,1992,1183813376.0
4427,China,1993,1195855616.0
4428,China,1994,1207286656.0
4429,China,1995,1218144384.0
4430,China,1996,1228298880.0
4431,China,1997,1237801472.0
4432,China,1998,1246836096.0
4433,China,1999,1255433216.0
4434,China,2000,1264099072.0
4435,China,2001,1272739584.0
4436,China,2002,1280926080.0
4437,China,2003,1288873344.0
4438,China,2004,1296816768.0
4439,China,2005,1304887552.0
4440,China,2006,1313086592.0
4441,China,2007,1321513216.0
4442,China,2008,1330167168.0
4443,China,2009,1339125632.0
4444,China,2010,1348191360.0
4445,China,2011,1357095424.0
4446,China,2012,1366560768.0
4447,China,2013,1376100352.0
4448,China,2014,1385189632.0
4449,China,2015,1393715456.0
4450,China,2016,1401889664.0
4451,China,2017,1410275968.0
4452,China,2018,1417069440.0
4453,China,2019,1421864064.0
4454,China,2020,1424929792.0
4455,China,2021,1425893504.0
4456,China,2022,1425887360.0
