,country,year,population
7296,France,1900,40019136.0
7297,France,1901,40067484.0
7298,France,1902,40116538.0
7299,France,1903,40166299.0
7300,France,1904,40216118.0
7301,France,1905,40265996.0
7302,France,1906,40315932.0
7303,France,1907,40365927.0
7304,France,1908,40415980.0
7305,France,1909,40408851.0
7306,France,1910,40344819.0
7307,France,1911,40224160.0
7308,France,1912,40047151.0
7309,France,1913,39814066.0
7310,France,1914,39582334.0
7311,France,1915,39351947.0
7312,France,1916,39122898.0
7313,France,1917,38895178.0
7314,France,1918,38680067.0
7315,France,1919,38558175.0
7316,France,1920,38529587.0
7317,France,1921,38594388.0
7318,France,1922,38752667.0
7319,France,1923,39004517.0
7320,France,1924,39258004.0
7321,France,1925,39513139.0
7322,France,1926,39769931.0
7323,France,1927,40028393.0
7324,France,1928,40288534.0
7325,France,1929,40485273.0
7326,France,1930,40618294.0
7327,France,1931,40687278.0
7328,France,1932,40691906.0
7329,France,1933,40631855.0
7330,France,1934,40571892.0
7331,France,1935,40512018.0
7332,France,1936,40452232.0
7333,France,1937,40392535.0
7334,France,1938,40332925.0
7335,France,1939,40314566.0
7336,France,1940,40337546.0
7337,France,1941,40401955.0
7338,France,1942,40507882.0
7339,France,1943,40655418.0
7340,France,1944,40803492.0
7341,France,1945,40952105.0
7342,France,1946,41101259.0
7343,France,1947,41250956.0
7344,France,1948,41401199.0
7345,France,1949,41598134.0
7346,France,1950,41842356.0
7347,France,1951,42196660.0
7348,France,1952,42542396.0
7349,France,1953,42883300.0
7350,France,1954,43225644.0
7351,France,1955,43593852.0
7352,France,1956,43959224.0
7353,France,1957,44338088.0
7354,France,1958,44754360.0
7355,France,1959,45201848.0
7356,France,1960,45659572.0
7357,France,1961,46143028.0
7358,France,1962,46635188.0
7359,France,1963,47121244.0
7360,France,1964,47641948.0
7361,France,1965,48168800.0
7362,France,1966,48683088.0
7363,France,1967,49181404.0
7364,France,1968,49647272.0
7365,France,1969,50087056.0
7366,France,1970,50523588.0
7367,France,1971,50970696.0
7368,France,1972,51410364.0
7369,France,1973,51814076.0
7370,France,1974,52163552.0
7371,France,1975,52450032.0
7372,France,1976,52685272.0
7373,France,1977,52925440.0
7374,France,1978,53175308.0
7375,France,1979,53428780.0
7376,France,1980,53713836.0
7377,France,1981,54016748.0
7378,France,1982,54319652.0
7379,France,1983,54592384.0
7380,France,1984,54845984.0
7381,France,1985,55108104.0
7382,France,1986,55371640.0
7383,France,1987,55641536.0
7384,France,1988,55911476.0
7385,France,1989,56169944.0
7386,France,1990,56412896.0
7387,France,1991,56645216.0
7388,France,1992,56864048.0
7389,France,1993,57053728.0
7390,France,1994,57230064.0
7391,France,1995,57420356.0
7392,France,1996,57623180.0
7393,France,1997,57839364.0
7394,France,1998,58080344.0
7395,France,1999,58352208.0
7396,France,2000,58665456.0
7397,France,2001,59014776.0
7398,France,2002,59372784.0
7399,France,2003,59728260.0
7400,France,2004,60108436.0
7401,France,2005,60510080.0
7402,France,2006,60919152.0
7403,France,2007,61329380.0
7404,France,2008,61721004.0
7405,France,2009,62093300.0
7406,France,2010,62444568.0
7407,France,2011,62775272.0
7408,France,2012,63071412.0
7409,France,2013,63335180.0
7410,France,2014,63588496.0
7411,France,2015,63809768.0
7412,France,2016,63989320.0
7413,France,2017,64144092.0
7414,France,2018,64277812.0
7415,France,2019,64399760.0
7416,France,2020,64480052.0
7417,France,2021,64531448.0
7418,France,2022,64626624.0
