,country,year,population
7745,Germany,1900,55775391.0
7746,Germany,1901,56591445.0
7747,Germany,1902,57433002.0
7748,Germany,1903,58300637.0
7749,Germany,1904,59181365.0
7750,Germany,1905,60075384.0
7751,Germany,1906,60982895.0
7752,Germany,1907,61904101.0
7753,Germany,1908,62839208.0
7754,Germany,1909,63557664.0
7755,Germany,1910,64056716.0
7756,Germany,1911,64333569.0
7757,Germany,1912,64385385.0
7758,Germany,1913,64209282.0
7759,Germany,1914,64033646.0
7760,Germany,1915,63858476.0
7761,Germany,1916,63683770.0
7762,Germany,1917,63509528.0
7763,Germany,1918,63305628.0
7764,Germany,1919,63226761.0
7765,Germany,1920,63273356.0
7766,Germany,1921,63445847.0
7767,Germany,1922,63744670.0
7768,Germany,1923,64170268.0
7769,Germany,1924,64598707.0
7770,Germany,1925,65030007.0
7771,Germany,1926,65464186.0
7772,Germany,1927,65901264.0
7773,Germany,1928,66341260.0
7774,Germany,1929,66789491.0
7775,Germany,1930,67246048.0
7776,Germany,1931,67711026.0
7777,Germany,1932,68184518.0
7778,Germany,1933,68666619.0
7779,Germany,1934,69152129.0
7780,Germany,1935,69641071.0
7781,Germany,1936,70133471.0
7782,Germany,1937,70629352.0
7783,Germany,1938,71128740.0
7784,Germany,1939,71499194.0
7785,Germany,1940,71740083.0
7786,Germany,1941,71850770.0
7787,Germany,1942,71830612.0
7788,Germany,1943,71678963.0
7789,Germany,1944,71527635.0
7790,Germany,1945,71376625.0
7791,Germany,1946,71225935.0
7792,Germany,1947,71075562.0
7793,Germany,1948,70925507.0
7794,Germany,1949,70888212.0
7795,Germany,1950,70964104.0
7796,Germany,1951,70820040.0
7797,Germany,1952,70808376.0
7798,Germany,1953,70879448.0
7799,Germany,1954,71020736.0
7800,Germany,1955,71222632.0
7801,Germany,1956,71473272.0
7802,Germany,1957,71771632.0
7803,Germany,1958,72136480.0
7804,Germany,1959,72578952.0
7805,Germany,1960,73063696.0
7806,Germany,1961,73604352.0
7807,Germany,1962,74194424.0
7808,Germany,1963,74796216.0
7809,Germany,1964,75423248.0
7810,Germany,1965,76037464.0
7811,Germany,1966,76618720.0
7812,Germany,1967,77173552.0
7813,Germany,1968,77646128.0
7814,Germany,1969,78012488.0
7815,Germany,1970,78294592.0
7816,Germany,1971,78511408.0
7817,Germany,1972,78643560.0
7818,Germany,1973,78667472.0
7819,Germany,1974,78620536.0
7820,Germany,1975,78513512.0
7821,Germany,1976,78364216.0
7822,Germany,1977,78221280.0
7823,Germany,1978,78071552.0
7824,Germany,1979,77915728.0
7825,Germany,1980,77786696.0
7826,Germany,1981,77684488.0
7827,Germany,1982,77610424.0
7828,Germany,1983,77566064.0
7829,Germany,1984,77568576.0
7830,Germany,1985,77638808.0
7831,Germany,1986,77803352.0
7832,Germany,1987,78090896.0
7833,Germany,1988,78477528.0
7834,Germany,1989,78916440.0
7835,Germany,1990,79370192.0
7836,Germany,1991,79801984.0
7837,Germany,1992,80205024.0
7838,Germany,1993,80573496.0
7839,Germany,1994,80882120.0
7840,Germany,1995,81123264.0
7841,Germany,1996,81300864.0
7842,Germany,1997,81436096.0
7843,Germany,1998,81524384.0
7844,Germany,1999,81556968.0
7845,Germany,2000,81551680.0
7846,Germany,2001,81514568.0
7847,Germany,2002,81443424.0
7848,Germany,2003,81346808.0
7849,Germany,2004,81266672.0
7850,Germany,2005,81212168.0
7851,Germany,2006,81177816.0
7852,Germany,2007,81183832.0
7853,Germany,2008,81217488.0
7854,Germany,2009,81260624.0
7855,Germany,2010,81325088.0
7856,Germany,2011,81423384.0
7857,Germany,2012,81545568.0
7858,Germany,2013,81680592.0
7859,Germany,2014,81858824.0
7860,Germany,2015,82073232.0
7861,Germany,2016,82331432.0
7862,Germany,2017,82624368.0
7863,Germany,2018,82896696.0
7864,Germany,2019,83148144.0
7865,Germany,2020,83328992.0
7866,Germany,2021,83408560.0
7867,Germany,2022,83369840.0
