,country,year,population
9097,India,1900,280714154.0
9098,India,1901,281834058.0
9099,India,1902,283199773.0
9100,India,1903,284812956.0
9101,India,1904,286435299.0
9102,India,1905,288066854.0
9103,India,1906,289707671.0
9104,India,1907,291357804.0
9105,India,1908,293017306.0
9106,India,1909,294397607.0
9107,India,1910,295496971.0
9108,India,1911,296313651.0
9109,India,1912,296845891.0
9110,India,1913,297091925.0
9111,India,1914,297338132.0
9112,India,1915,297584511.0
9113,India,1916,297831063.0
9114,India,1917,298077789.0
9115,India,1918,298421342.0
9116,India,1919,299273541.0
9117,India,1920,300639878.0
9118,India,1921,302525896.0
9119,India,1922,304937193.0
9120,India,1923,307879422.0
9121,India,1924,310850039.0
9122,India,1925,313849318.0
9123,India,1926,316877536.0
9124,India,1927,319934973.0
9125,India,1928,323021910.0
9126,India,1929,326429031.0
9127,India,1930,330163509.0
9128,India,1931,334232641.0
9129,India,1932,338643856.0
9130,India,1933,343404711.0
9131,India,1934,348232496.0
9132,India,1935,353128154.0
9133,India,1936,358092638.0
9134,India,1937,363126915.0
9135,India,1938,368231967.0
9136,India,1939,371781679.0
9137,India,1940,373766276.0
9138,India,1941,374175756.0
9139,India,1942,372999886.0
9140,India,1943,370228201.0
9141,India,1944,367477113.0
9142,India,1945,364746467.0
9143,India,1946,362036112.0
9144,India,1947,359345897.0
9145,India,1948,356675672.0
9146,India,1949,355893489.0
9147,India,1950,357021120.0
9148,India,1951,364922368.0
9149,India,1952,372997184.0
9150,India,1953,381227712.0
9151,India,1954,389731392.0
9152,India,1955,398577984.0
9153,India,1956,407656608.0
9154,India,1957,416935392.0
9155,India,1958,426295776.0
9156,India,1959,435900352.0
9157,India,1960,445954560.0
9158,India,1961,456351872.0
9159,India,1962,467024192.0
9160,India,1963,477933632.0
9161,India,1964,489059296.0
9162,India,1965,500114336.0
9163,India,1966,510992608.0
9164,India,1967,521987072.0
9165,India,1968,533431904.0
9166,India,1969,545314688.0
9167,India,1970,557501312.0
9168,India,1971,569999168.0
9169,India,1972,582837952.0
9170,India,1973,596107456.0
9171,India,1974,609721920.0
9172,India,1975,623524224.0
9173,India,1976,637451456.0
9174,India,1977,651685632.0
9175,India,1978,666267776.0
9176,India,1979,681248384.0
9177,India,1980,696828352.0
9178,India,1981,712869312.0
9179,India,1982,729169472.0
9180,India,1983,745826560.0
9181,India,1984,762895168.0
9182,India,1985,780242112.0
9183,India,1986,797878976.0
9184,India,1987,815716160.0
9185,India,1988,833729664.0
9186,India,1989,852012672.0
9187,India,1990,870452160.0
9188,India,1991,888941760.0
9189,India,1992,907574080.0
9190,India,1993,926351296.0
9191,India,1994,945261952.0
9192,India,1995,964279104.0
9193,India,1996,983281216.0
9194,India,1997,1002335232.0
9195,India,1998,1021434560.0
9196,India,1999,1040500032.0
9197,India,2000,1059633664.0
9198,India,2001,1078970880.0
9199,India,2002,1098313088.0
9200,India,2003,1117415168.0
9201,India,2004,1136264576.0
9202,India,2005,1154638720.0
9203,India,2006,1172373760.0
9204,India,2007,1189691776.0
9205,India,2008,1206734848.0
9206,India,2009,1223640192.0
9207,India,2010,1240613632.0
9208,India,2011,1257621248.0
9209,India,2012,1274487168.0
9210,India,2013,1291132032.0
9211,India,2014,1307246464.0
9212,India,2015,1322866560.0
9213,India,2016,1338636288.0
9214,India,2017,1354195712.0
9215,India,2018,1369003264.0
9216,India,2019,1383112064.0
9217,India,2020,1396387072.0
9218,India,2021,1407563904.0
9219,India,2022,1417173120.0
