,country,year,population
9220,Indonesia,1900,38179623.0
9221,Indonesia,1901,38668903.0
9222,Indonesia,1902,39163692.0
9223,Indonesia,1903,39646401.0
9224,Indonesia,1904,40116661.0
9225,Indonesia,1905,40574022.0
9226,Indonesia,1906,41018198.0
9227,Indonesia,1907,41465424.0
9228,Indonesia,1908,41914876.0
9229,Indonesia,1909,42366545.0
9230,Indonesia,1910,42820498.0
9231,Indonesia,1911,43254585.0
9232,Indonesia,1912,43716724.0
9233,Indonesia,1913,44180972.0
9234,Indonesia,1914,44647319.0
9235,Indonesia,1915,45118696.0
9236,Indonesia,1916,45528655.0
9237,Indonesia,1917,45837761.0
9238,Indonesia,1918,46225903.0
9239,Indonesia,1919,46707410.0
9240,Indonesia,1920,47304303.0
9241,Indonesia,1921,47889453.0
9242,Indonesia,1922,48464913.0
9243,Indonesia,1923,49048301.0
9244,Indonesia,1924,49640203.0
9245,Indonesia,1925,50240326.0
9246,Indonesia,1926,50849550.0
9247,Indonesia,1927,51467289.0
9248,Indonesia,1928,52094423.0
9249,Indonesia,1929,52730659.0
9250,Indonesia,1930,53422386.0
9251,Indonesia,1931,54167255.0
9252,Indonesia,1932,54965265.0
9253,Indonesia,1933,55772671.0
9254,Indonesia,1934,56592409.0
9255,Indonesia,1935,57426239.0
9256,Indonesia,1936,58274749.0
9257,Indonesia,1937,59137646.0
9258,Indonesia,1938,60015810.0
9259,Indonesia,1939,60908068.0
9260,Indonesia,1940,61843190.0
9261,Indonesia,1941,62820886.0
9262,Indonesia,1942,63742503.0
9263,Indonesia,1943,64402814.0
9264,Indonesia,1944,64654432.0
9265,Indonesia,1945,64894598.0
9266,Indonesia,1946,65358783.0
9267,Indonesia,1947,66226965.0
9268,Indonesia,1948,67261032.0
9269,Indonesia,1949,68405199.0
9270,Indonesia,1950,69567624.0
9271,Indonesia,1951,71019352.0
9272,Indonesia,1952,72570832.0
9273,Indonesia,1953,74207992.0
9274,Indonesia,1954,75925328.0
9275,Indonesia,1955,77741512.0
9276,Indonesia,1956,79661840.0
9277,Indonesia,1957,81690984.0
9278,Indonesia,1958,83818760.0
9279,Indonesia,1959,86047672.0
9280,Indonesia,1960,88382888.0
9281,Indonesia,1961,90816944.0
9282,Indonesia,1962,93345496.0
9283,Indonesia,1963,95962536.0
9284,Indonesia,1964,98675064.0
9285,Indonesia,1965,101157872.0
9286,Indonesia,1966,103561104.0
9287,Indonesia,1967,106260752.0
9288,Indonesia,1968,109138728.0
9289,Indonesia,1969,112149256.0
9290,Indonesia,1970,115228392.0
9291,Indonesia,1971,118347136.0
9292,Indonesia,1972,121504136.0
9293,Indonesia,1973,124709056.0
9294,Indonesia,1974,127945192.0
9295,Indonesia,1975,131213216.0
9296,Indonesia,1976,134521024.0
9297,Indonesia,1977,137861536.0
9298,Indonesia,1978,141250960.0
9299,Indonesia,1979,144693088.0
9300,Indonesia,1980,148177104.0
9301,Indonesia,1981,151686336.0
9302,Indonesia,1982,155228656.0
9303,Indonesia,1983,158790608.0
9304,Indonesia,1984,162331968.0
9305,Indonesia,1985,165791696.0
9306,Indonesia,1986,169135280.0
9307,Indonesia,1987,172421392.0
9308,Indonesia,1988,175694640.0
9309,Indonesia,1989,178949168.0
9310,Indonesia,1990,182159888.0
9311,Indonesia,1991,185361232.0
9312,Indonesia,1992,188558416.0
9313,Indonesia,1993,191737280.0
9314,Indonesia,1994,194928544.0
9315,Indonesia,1995,198140160.0
9316,Indonesia,1996,201373792.0
9317,Indonesia,1997,204628016.0
9318,Indonesia,1998,207855488.0
9319,Indonesia,1999,210996912.0
9320,Indonesia,2000,214072416.0
9321,Indonesia,2001,217112432.0
9322,Indonesia,2002,220115088.0
9323,Indonesia,2003,223080128.0
9324,Indonesia,2004,225938592.0
9325,Indonesia,2005,228805152.0
9326,Indonesia,2006,231797424.0
9327,Indonesia,2007,234858288.0
9328,Indonesia,2008,237936544.0
9329,Indonesia,2009,240981296.0
9330,Indonesia,2010,244016176.0
9331,Indonesia,2011,247099696.0
9332,Indonesia,2012,250222688.0
9333,Indonesia,2013,253275920.0
9334,Indonesia,2014,256229760.0
9335,Indonesia,2015,259091968.0
9336,Indonesia,2016,261850176.0
9337,Indonesia,2017,264498848.0
9338,Indonesia,2018,267066848.0
9339,Indonesia,2019,269582880.0
9340,Indonesia,2020,271857984.0
9341,Indonesia,2021,273753184.0
9342,Indonesia,2022,275501344.0
