,country,year,population
9835,Italy,1900,33332371.0
9836,Italy,1901,33571430.0
9837,Italy,1902,33827207.0
9838,Italy,1903,34099919.0
9839,Italy,1904,34374827.0
9840,Italy,1905,34651950.0
9841,Italy,1906,34931305.0
9842,Italy,1907,35212911.0
9843,Italy,1908,35496784.0
9844,Italy,1909,35739219.0
9845,Italy,1910,35939804.0
9846,Italy,1911,36098124.0
9847,Italy,1912,36213760.0
9848,Italy,1913,36286291.0
9849,Italy,1914,36358965.0
9850,Italy,1915,36431783.0
9851,Italy,1916,36504744.0
9852,Italy,1917,36577850.0
9853,Italy,1918,36659635.0
9854,Italy,1919,36789373.0
9855,Italy,1920,36967588.0
9856,Italy,1921,37194808.0
9857,Italy,1922,37471567.0
9858,Italy,1923,37798403.0
9859,Italy,1924,38128090.0
9860,Italy,1925,38460652.0
9861,Italy,1926,38796116.0
9862,Italy,1927,39134505.0
9863,Italy,1928,39475845.0
9864,Italy,1929,39817412.0
9865,Italy,1930,40159184.0
9866,Italy,1931,40501139.0
9867,Italy,1932,40843255.0
9868,Italy,1933,41185511.0
9869,Italy,1934,41530635.0
9870,Italy,1935,41878651.0
9871,Italy,1936,42229584.0
9872,Italy,1937,42583457.0
9873,Italy,1938,42940295.0
9874,Italy,1939,43279914.0
9875,Italy,1940,43602046.0
9876,Italy,1941,43906421.0
9877,Italy,1942,44192767.0
9878,Italy,1943,44460808.0
9879,Italy,1944,44730474.0
9880,Italy,1945,45001776.0
9881,Italy,1946,45274723.0
9882,Italy,1947,45549326.0
9883,Italy,1948,45825595.0
9884,Italy,1949,46106450.0
9885,Italy,1950,46391944.0
9886,Italy,1951,46750764.0
9887,Italy,1952,47016488.0
9888,Italy,1953,47412148.0
9889,Italy,1954,47833768.0
9890,Italy,1955,48130728.0
9891,Italy,1956,48403440.0
9892,Italy,1957,48660256.0
9893,Italy,1958,48930472.0
9894,Italy,1959,49224672.0
9895,Italy,1960,49517708.0
9896,Italy,1961,49812724.0
9897,Italy,1962,50162244.0
9898,Italy,1963,50555128.0
9899,Italy,1964,50997780.0
9900,Italy,1965,51452860.0
9901,Italy,1966,51882568.0
9902,Italy,1967,52294440.0
9903,Italy,1968,52661072.0
9904,Italy,1969,53001508.0
9905,Italy,1970,53324036.0
9906,Italy,1971,53636100.0
9907,Italy,1972,53995428.0
9908,Italy,1973,54379588.0
9909,Italy,1974,54750684.0
9910,Italy,1975,55093992.0
9911,Italy,1976,55388904.0
9912,Italy,1977,55649672.0
9913,Italy,1978,55877016.0
9914,Italy,1979,56070680.0
9915,Italy,1980,56329480.0
9916,Italy,1981,56532908.0
9917,Italy,1982,56585840.0
9918,Italy,1983,56607516.0
9919,Italy,1984,56620236.0
9920,Italy,1985,56636468.0
9921,Italy,1986,56639056.0
9922,Italy,1987,56644528.0
9923,Italy,1988,56670880.0
9924,Italy,1989,56711524.0
9925,Italy,1990,56756560.0
9926,Italy,1991,56794488.0
9927,Italy,1992,56833184.0
9928,Italy,1993,56869456.0
9929,Italy,1994,56883820.0
9930,Italy,1995,56885124.0
9931,Italy,1996,56898972.0
9932,Italy,1997,56925808.0
9933,Italy,1998,56938736.0
9934,Italy,1999,56945064.0
9935,Italy,2000,56966400.0
9936,Italy,2001,56994992.0
9937,Italy,2002,57107576.0
9938,Italy,2003,57425176.0
9939,Italy,2004,57860664.0
9940,Italy,2005,58199876.0
9941,Italy,2006,58429904.0
9942,Italy,2007,58778480.0
9943,Italy,2008,59224228.0
9944,Italy,2009,59562844.0
9945,Italy,2010,59822452.0
9946,Italy,2011,60025952.0
9947,Italy,2012,60190152.0
9948,Italy,2013,60312600.0
9949,Italy,2014,60322792.0
9950,Italy,2015,60232908.0
9951,Italy,2016,60118628.0
9952,Italy,2017,60004024.0
9953,Italy,2018,59877432.0
9954,Italy,2019,59727936.0
9955,Italy,2020,59500576.0
9956,Italy,2021,59240336.0
9957,Italy,2022,59037472.0
