,country,year,population
10000,Japan,1900,44416502.0
10001,Japan,1901,44903535.0
10002,Japan,1902,45413962.0
10003,Japan,1903,45948233.0
10004,Japan,1904,46488789.0
10005,Japan,1905,47035703.0
10006,Japan,1906,47589051.0
10007,Japan,1907,48148908.0
10008,Japan,1908,48715351.0
10009,Japan,1909,49292444.0
10010,Japan,1910,49880362.0
10011,Japan,1911,50479280.0
10012,Japan,1912,51089380.0
10013,Japan,1913,51710843.0
10014,Japan,1914,52339865.0
10015,Japan,1915,52976538.0
10016,Japan,1916,53620954.0
10017,Japan,1917,54273209.0
10018,Japan,1918,54927094.0
10019,Japan,1919,55611871.0
10020,Japan,1920,56328237.0
10021,Japan,1921,57076902.0
10022,Japan,1922,57858589.0
10023,Japan,1923,58674033.0
10024,Japan,1924,59500970.0
10025,Japan,1925,60339562.0
10026,Japan,1926,61189973.0
10027,Japan,1927,62052369.0
10028,Japan,1928,62926919.0
10029,Japan,1929,63798063.0
10030,Japan,1930,64665549.0
10031,Japan,1931,65529121.0
10032,Japan,1932,66388515.0
10033,Japan,1933,67243463.0
10034,Japan,1934,68109421.0
10035,Japan,1935,68986531.0
10036,Japan,1936,69874936.0
10037,Japan,1937,70774782.0
10038,Japan,1938,71686216.0
10039,Japan,1939,72625078.0
10040,Japan,1940,73591941.0
10041,Japan,1941,74587386.0
10042,Japan,1942,75612006.0
10043,Japan,1943,76666406.0
10044,Japan,1944,77735509.0
10045,Japan,1945,78819521.0
10046,Japan,1946,79918650.0
10047,Japan,1947,81033105.0
10048,Japan,1948,82163102.0
10049,Japan,1949,83270008.0
10050,Japan,1950,84353056.0
10051,Japan,1951,85683472.0
10052,Japan,1952,86921760.0
10053,Japan,1953,88057136.0
10054,Japan,1954,89093016.0
10055,Japan,1955,90090280.0
10056,Japan,1956,91021560.0
10057,Japan,1957,91837664.0
10058,Japan,1958,92671296.0
10059,Japan,1959,93575984.0
10060,Japan,1960,94464840.0
10061,Japan,1961,95355464.0
10062,Japan,1962,96267888.0
10063,Japan,1963,97246712.0
10064,Japan,1964,98319344.0
10065,Japan,1965,99468752.0
10066,Japan,1966,100466904.0
10067,Japan,1967,101527856.0
10068,Japan,1968,102819280.0
10069,Japan,1969,104102072.0
10070,Japan,1970,105416840.0
10071,Japan,1971,106789360.0
10072,Japan,1972,108220400.0
10073,Japan,1973,109679472.0
10074,Japan,1974,111100024.0
10075,Japan,1975,112411640.0
10076,Japan,1976,113624872.0
10077,Japan,1977,114761520.0
10078,Japan,1978,115809520.0
10079,Japan,1979,116765512.0
10080,Japan,1980,117624200.0
10081,Japan,1981,118385728.0
10082,Japan,1982,119098144.0
10083,Japan,1983,119793752.0
10084,Japan,1984,120470736.0
10085,Japan,1985,121119024.0
10086,Japan,1986,121710304.0
10087,Japan,1987,122268888.0
10088,Japan,1988,122798304.0
10089,Japan,1989,123270648.0
10090,Japan,1990,123686320.0
10091,Japan,1991,124073992.0
10092,Japan,1992,124444696.0
10093,Japan,1993,124779576.0
10094,Japan,1994,125119264.0
10095,Japan,1995,125433968.0
10096,Japan,1996,125726224.0
10097,Japan,1997,126027984.0
10098,Japan,1998,126308392.0
10099,Japan,1999,126555064.0
10100,Japan,2000,126803864.0
10101,Japan,2001,127065736.0
10102,Japan,2002,127301744.0
10103,Japan,2003,127502352.0
10104,Japan,2004,127671288.0
10105,Japan,2005,127798376.0
10106,Japan,2006,127902168.0
10107,Japan,2007,128006424.0
10108,Japan,2008,128077632.0
10109,Japan,2009,128117040.0
10110,Japan,2010,128105432.0
10111,Japan,2011,128007256.0
10112,Japan,2012,127853688.0
10113,Japan,2013,127678920.0
10114,Japan,2014,127476728.0
10115,Japan,2015,127250936.0
10116,Japan,2016,126993856.0
10117,Japan,2017,126662464.0
10118,Japan,2018,126255872.0
10119,Japan,2019,125791680.0
10120,Japan,2020,125244760.0
10121,Japan,2021,124612528.0
10122,Japan,2022,123951696.0
