,country,year,population
11741,Mexico,1900,13261087.0
11742,Mexico,1901,13411660.0
11743,Mexico,1902,13550290.0
11744,Mexico,1903,13676676.0
11745,Mexico,1904,13804239.0
11746,Mexico,1905,13932988.0
11747,Mexico,1906,14062935.0
11748,Mexico,1907,14194091.0
11749,Mexico,1908,14326467.0
11750,Mexico,1909,14429522.0
11751,Mexico,1910,14503032.0
11752,Mexico,1911,14546769.0
11753,Mexico,1912,14560504.0
11754,Mexico,1913,14544007.0
11755,Mexico,1914,14527526.0
11756,Mexico,1915,14511060.0
11757,Mexico,1916,14494609.0
11758,Mexico,1917,14478175.0
11759,Mexico,1918,14468493.0
11760,Mexico,1919,14502107.0
11761,Mexico,1920,14579605.0
11762,Mexico,1921,14701588.0
11763,Mexico,1922,14868662.0
11764,Mexico,1923,15081445.0
11765,Mexico,1924,15297272.0
11766,Mexico,1925,15516188.0
11767,Mexico,1926,15738237.0
11768,Mexico,1927,15963464.0
11769,Mexico,1928,16191914.0
11770,Mexico,1929,16433663.0
11771,Mexico,1930,16689077.0
11772,Mexico,1931,16958527.0
11773,Mexico,1932,17242393.0
11774,Mexico,1933,17541066.0
11775,Mexico,1934,17844913.0
11776,Mexico,1935,18154022.0
11777,Mexico,1936,18468486.0
11778,Mexico,1937,18788397.0
11779,Mexico,1938,19113850.0
11780,Mexico,1939,19510841.0
11781,Mexico,1940,19982850.0
11782,Mexico,1941,20533490.0
11783,Mexico,1942,21166520.0
11784,Mexico,1943,21885841.0
11785,Mexico,1944,22629608.0
11786,Mexico,1945,23398651.0
11787,Mexico,1946,24193829.0
11788,Mexico,1947,25016030.0
11789,Mexico,1948,25866173.0
11790,Mexico,1949,26727593.0
11791,Mexico,1950,27600140.0
11792,Mexico,1951,28328022.0
11793,Mexico,1952,29061668.0
11794,Mexico,1953,29822098.0
11795,Mexico,1954,30616898.0
11796,Mexico,1955,31452140.0
11797,Mexico,1956,32325944.0
11798,Mexico,1957,33239524.0
11799,Mexico,1958,34180100.0
11800,Mexico,1959,35179436.0
11801,Mexico,1960,36268048.0
11802,Mexico,1961,37439316.0
11803,Mexico,1962,38683280.0
11804,Mexico,1963,39982116.0
11805,Mexico,1964,41333880.0
11806,Mexico,1965,42737996.0
11807,Mexico,1966,44180444.0
11808,Mexico,1967,45656964.0
11809,Mexico,1968,47170340.0
11810,Mexico,1969,48714396.0
11811,Mexico,1970,50289304.0
11812,Mexico,1971,51897680.0
11813,Mexico,1972,53543432.0
11814,Mexico,1973,55228200.0
11815,Mexico,1974,56945880.0
11816,Mexico,1975,58691880.0
11817,Mexico,1976,60452544.0
11818,Mexico,1977,62262508.0
11819,Mexico,1978,64124000.0
11820,Mexico,1979,65972908.0
11821,Mexico,1980,67705184.0
11822,Mexico,1981,69233768.0
11823,Mexico,1982,70656784.0
11824,Mexico,1983,72080312.0
11825,Mexico,1984,73489648.0
11826,Mexico,1985,74872008.0
11827,Mexico,1986,76224360.0
11828,Mexico,1987,77553504.0
11829,Mexico,1988,78892016.0
11830,Mexico,1989,80233752.0
11831,Mexico,1990,81720424.0
11832,Mexico,1991,83351600.0
11833,Mexico,1992,84993160.0
11834,Mexico,1993,86648440.0
11835,Mexico,1994,88314416.0
11836,Mexico,1995,89969568.0
11837,Mexico,1996,91586560.0
11838,Mexico,1997,93183088.0
11839,Mexico,1998,94767288.0
11840,Mexico,1999,96334808.0
11841,Mexico,2000,97873448.0
11842,Mexico,2001,99394288.0
11843,Mexico,2002,100917080.0
11844,Mexico,2003,102429344.0
11845,Mexico,2004,103945816.0
11846,Mexico,2005,105442400.0
11847,Mexico,2006,106886792.0
11848,Mexico,2007,108302976.0
11849,Mexico,2008,109684496.0
11850,Mexico,2009,111049424.0
11851,Mexico,2010,112532400.0
11852,Mexico,2011,114150480.0
11853,Mexico,2012,115755912.0
11854,Mexico,2013,117290680.0
11855,Mexico,2014,118755888.0
11856,Mexico,2015,120149896.0
11857,Mexico,2016,121519224.0
11858,Mexico,2017,122839256.0
11859,Mexico,2018,124013864.0
11860,Mexico,2019,125085312.0
11861,Mexico,2020,125998296.0
11862,Mexico,2021,126705136.0
11863,Mexico,2022,127504120.0
