,country,year,population
13497,Nigeria,1900,18664170.0
13498,Nigeria,1901,18832279.0
13499,Nigeria,1902,19015081.0
13500,Nigeria,1903,19212834.0
13501,Nigeria,1904,19412612.0
13502,Nigeria,1905,19614436.0
13503,Nigeria,1906,19818325.0
13504,Nigeria,1907,20024302.0
13505,Nigeria,1908,20232386.0
13506,Nigeria,1909,20442936.0
13507,Nigeria,1910,20655981.0
13508,Nigeria,1911,20871550.0
13509,Nigeria,1912,21089672.0
13510,Nigeria,1913,21310378.0
13511,Nigeria,1914,21533359.0
13512,Nigeria,1915,21758639.0
13513,Nigeria,1916,21986241.0
13514,Nigeria,1917,22216188.0
13515,Nigeria,1918,22420351.0
13516,Nigeria,1919,22657217.0
13517,Nigeria,1920,22927580.0
13518,Nigeria,1921,23232246.0
13519,Nigeria,1922,23572038.0
13520,Nigeria,1923,23947794.0
13521,Nigeria,1924,24329539.0
13522,Nigeria,1925,24717370.0
13523,Nigeria,1926,25111383.0
13524,Nigeria,1927,25511677.0
13525,Nigeria,1928,25918352.0
13526,Nigeria,1929,26326182.0
13527,Nigeria,1930,26735105.0
13528,Nigeria,1931,27145057.0
13529,Nigeria,1932,27555974.0
13530,Nigeria,1933,27967788.0
13531,Nigeria,1934,28385755.0
13532,Nigeria,1935,28809970.0
13533,Nigeria,1936,29240524.0
13534,Nigeria,1937,29677512.0
13535,Nigeria,1938,30121031.0
13536,Nigeria,1939,30590134.0
13537,Nigeria,1940,31085546.0
13538,Nigeria,1941,31608007.0
13539,Nigeria,1942,32158274.0
13540,Nigeria,1943,32737123.0
13541,Nigeria,1944,33326391.0
13542,Nigeria,1945,33926266.0
13543,Nigeria,1946,34536939.0
13544,Nigeria,1947,35158604.0
13545,Nigeria,1948,35791459.0
13546,Nigeria,1949,36467880.0
13547,Nigeria,1950,37189376.0
13548,Nigeria,1951,37903172.0
13549,Nigeria,1952,38624424.0
13550,Nigeria,1953,39347724.0
13551,Nigeria,1954,40082480.0
13552,Nigeria,1955,40839224.0
13553,Nigeria,1956,41616580.0
13554,Nigeria,1957,42413364.0
13555,Nigeria,1958,43214756.0
13556,Nigeria,1959,44044232.0
13557,Nigeria,1960,44928336.0
13558,Nigeria,1961,45855508.0
13559,Nigeria,1962,46821856.0
13560,Nigeria,1963,47822572.0
13561,Nigeria,1964,48856336.0
13562,Nigeria,1965,49925800.0
13563,Nigeria,1966,51020304.0
13564,Nigeria,1967,52106684.0
13565,Nigeria,1968,53210124.0
13566,Nigeria,1969,54360756.0
13567,Nigeria,1970,55569268.0
13568,Nigeria,1971,56837616.0
13569,Nigeria,1972,58173832.0
13570,Nigeria,1973,59605448.0
13571,Nigeria,1974,61157940.0
13572,Nigeria,1975,62851316.0
13573,Nigeria,1976,64658312.0
13574,Nigeria,1977,66589656.0
13575,Nigeria,1978,68633344.0
13576,Nigeria,1979,70750312.0
13577,Nigeria,1980,72951440.0
13578,Nigeria,1981,75175392.0
13579,Nigeria,1982,77388072.0
13580,Nigeria,1983,79351592.0
13581,Nigeria,1984,81337552.0
13582,Nigeria,1985,83585256.0
13583,Nigeria,1986,85804192.0
13584,Nigeria,1987,88044192.0
13585,Nigeria,1988,90351464.0
13586,Nigeria,1989,92744064.0
13587,Nigeria,1990,95214256.0
13588,Nigeria,1991,97685360.0
13589,Nigeria,1992,100182048.0
13590,Nigeria,1993,102775472.0
13591,Nigeria,1994,105456120.0
13592,Nigeria,1995,108187616.0
13593,Nigeria,1996,110956184.0
13594,Nigeria,1997,113791184.0
13595,Nigeria,1998,116690528.0
13596,Nigeria,1999,119695568.0
13597,Nigeria,2000,122851984.0
13598,Nigeria,2001,126152680.0
13599,Nigeria,2002,129583032.0
13600,Nigeria,2003,133119808.0
13601,Nigeria,2004,136756848.0
13602,Nigeria,2005,140490720.0
13603,Nigeria,2006,144329760.0
13604,Nigeria,2007,148294032.0
13605,Nigeria,2008,152382512.0
13606,Nigeria,2009,156595744.0
13607,Nigeria,2010,160952864.0
13608,Nigeria,2011,165463744.0
13609,Nigeria,2012,170075936.0
13610,Nigeria,2013,174726128.0
13611,Nigeria,2014,179379024.0
13612,Nigeria,2015,183995776.0
13613,Nigeria,2016,188666928.0
13614,Nigeria,2017,193495904.0
13615,Nigeria,2018,198387616.0
13616,Nigeria,2019,203304496.0
13617,Nigeria,2020,208327408.0
13618,Nigeria,2021,213401328.0
13619,Nigeria,2022,218541216.0
