,country,year,population
15229,Pakistan,1900,18263133.0
15230,Pakistan,1901,18349144.0
15231,Pakistan,1902,18435550.0
15232,Pakistan,1903,18522352.0
15233,Pakistan,1904,18609553.0
15234,Pakistan,1905,18697153.0
15235,Pakistan,1906,18785155.0
15236,Pakistan,1907,18873561.0
15237,Pakistan,1908,18962372.0
15238,Pakistan,1909,19081237.0
15239,Pakistan,1910,19230643.0
15240,Pakistan,1911,19411085.0
15241,Pakistan,1912,19623063.0
15242,Pakistan,1913,19867085.0
15243,Pakistan,1914,20114130.0
15244,Pakistan,1915,20364235.0
15245,Pakistan,1916,20617438.0
15246,Pakistan,1917,20873778.0
15247,Pakistan,1918,21149350.0
15248,Pakistan,1919,21451234.0
15249,Pakistan,1920,21780196.0
15250,Pakistan,1921,22137018.0
15251,Pakistan,1922,22522501.0
15252,Pakistan,1923,22937465.0
15253,Pakistan,1924,23360074.0
15254,Pakistan,1925,23790470.0
15255,Pakistan,1926,24228796.0
15256,Pakistan,1927,24675197.0
15257,Pakistan,1928,25129824.0
15258,Pakistan,1929,25592826.0
15259,Pakistan,1930,26064359.0
15260,Pakistan,1931,26544580.0
15261,Pakistan,1932,27033648.0
15262,Pakistan,1933,27531728.0
15263,Pakistan,1934,28038984.0
15264,Pakistan,1935,28555586.0
15265,Pakistan,1936,29081706.0
15266,Pakistan,1937,29617520.0
15267,Pakistan,1938,30163206.0
15268,Pakistan,1939,30718945.0
15269,Pakistan,1940,31284924.0
15270,Pakistan,1941,31861331.0
15271,Pakistan,1942,32448357.0
15272,Pakistan,1943,33046199.0
15273,Pakistan,1944,33655057.0
15274,Pakistan,1945,34275132.0
15275,Pakistan,1946,34906631.0
15276,Pakistan,1947,35549766.0
15277,Pakistan,1948,36204749.0
15278,Pakistan,1949,36919488.0
15279,Pakistan,1950,37696264.0
15280,Pakistan,1951,38215788.0
15281,Pakistan,1952,38816780.0
15282,Pakistan,1953,39488232.0
15283,Pakistan,1954,40224096.0
15284,Pakistan,1955,41023128.0
15285,Pakistan,1956,41884992.0
15286,Pakistan,1957,42808516.0
15287,Pakistan,1958,43794992.0
15288,Pakistan,1959,44843640.0
15289,Pakistan,1960,45954228.0
15290,Pakistan,1961,47060912.0
15291,Pakistan,1962,48161844.0
15292,Pakistan,1963,49325052.0
15293,Pakistan,1964,50552600.0
15294,Pakistan,1965,51841628.0
15295,Pakistan,1966,53199420.0
15296,Pakistan,1967,54629796.0
15297,Pakistan,1968,56124740.0
15298,Pakistan,1969,57676804.0
15299,Pakistan,1970,59290872.0
15300,Pakistan,1971,60878784.0
15301,Pakistan,1972,62509568.0
15302,Pakistan,1973,64285632.0
15303,Pakistan,1974,66149172.0
15304,Pakistan,1975,68127000.0
15305,Pakistan,1976,70230928.0
15306,Pakistan,1977,72451112.0
15307,Pakistan,1978,74789328.0
15308,Pakistan,1979,77407344.0
15309,Pakistan,1980,80624056.0
15310,Pakistan,1981,84270208.0
15311,Pakistan,1982,87828200.0
15312,Pakistan,1983,91080376.0
15313,Pakistan,1984,94003880.0
15314,Pakistan,1985,97121552.0
15315,Pakistan,1986,100618520.0
15316,Pakistan,1987,104251096.0
15317,Pakistan,1988,107967840.0
15318,Pakistan,1989,111670392.0
15319,Pakistan,1990,115414072.0
15320,Pakistan,1991,119203576.0
15321,Pakistan,1992,122375176.0
15322,Pakistan,1993,125546624.0
15323,Pakistan,1994,129245136.0
15324,Pakistan,1995,133117480.0
15325,Pakistan,1996,137234816.0
15326,Pakistan,1997,141330272.0
15327,Pakistan,1998,145476112.0
15328,Pakistan,1999,149694464.0
15329,Pakistan,2000,154369920.0
15330,Pakistan,2001,159217728.0
15331,Pakistan,2002,163262800.0
15332,Pakistan,2003,166876672.0
15333,Pakistan,2004,170648624.0
15334,Pakistan,2005,174372096.0
15335,Pakistan,2006,178069984.0
15336,Pakistan,2007,181924528.0
15337,Pakistan,2008,185931952.0
15338,Pakistan,2009,190123232.0
15339,Pakistan,2010,194454496.0
15340,Pakistan,2011,198602736.0
15341,Pakistan,2012,202205856.0
15342,Pakistan,2013,205337552.0
15343,Pakistan,2014,208251632.0
15344,Pakistan,2015,210969296.0
15345,Pakistan,2016,213524848.0
15346,Pakistan,2017,216379648.0
15347,Pakistan,2018,219731488.0
15348,Pakistan,2019,223293280.0
15349,Pakistan,2020,227196736.0
15350,Pakistan,2021,231402112.0
15351,Pakistan,2022,235824864.0
