,country,year,population
16485,Russia,1985,142896384.0
16486,Russia,1986,144046480.0
16487,Russia,1987,145312016.0
16488,Russia,1988,146464384.0
16489,Russia,1989,147341504.0
16490,Russia,1990,148005696.0
16491,Russia,1991,148455408.0
16492,Russia,1992,148725600.0
16493,Russia,1993,148897280.0
16494,Russia,1994,148829120.0
16495,Russia,1995,148557456.0
16496,Russia,1996,148233408.0
16497,Russia,1997,147939968.0
16498,Russia,1998,147672720.0
16499,Russia,1999,147336384.0
16500,Russia,2000,146844848.0
16501,Russia,2001,146235520.0
16502,Russia,2002,145590144.0
16503,Russia,2003,144946720.0
16504,Russia,2004,144353648.0
16505,Russia,2005,143800048.0
16506,Russia,2006,143338672.0
16507,Russia,2007,143117680.0
16508,Russia,2008,143086544.0
16509,Russia,2009,143163648.0
16510,Russia,2010,143242592.0
16511,Russia,2011,143364544.0
16512,Russia,2012,143629360.0
16513,Russia,2013,143956864.0
16514,Russia,2014,144285072.0
16515,Russia,2015,144668384.0
16516,Russia,2016,145109152.0
16517,Russia,2017,145452544.0
16518,Russia,2018,145652288.0
16519,Russia,2019,145742288.0
16520,Russia,2020,145617328.0
16521,Russia,2021,145102752.0
16522,Russia,2022,144713312.0
