,country,year,population
20037,United Kingdom,1900,41089602.0
20038,United Kingdom,1901,41459153.0
20039,United Kingdom,1902,41827091.0
20040,United Kingdom,1903,42193357.0
20041,United Kingdom,1904,42562831.0
20042,United Kingdom,1905,42935539.0
20043,United Kingdom,1906,43311511.0
20044,United Kingdom,1907,43690776.0
20045,United Kingdom,1908,44073361.0
20046,United Kingdom,1909,44417852.0
20047,United Kingdom,1910,44723743.0
20048,United Kingdom,1911,44990527.0
20049,United Kingdom,1912,45217688.0
20050,United Kingdom,1913,45404707.0
20051,United Kingdom,1914,45592500.0
20052,United Kingdom,1915,45781070.0
20053,United Kingdom,1916,45970420.0
20054,United Kingdom,1917,46160552.0
20055,United Kingdom,1918,46352692.0
20056,United Kingdom,1919,46487478.0
20057,United Kingdom,1920,46564792.0
20058,United Kingdom,1921,46584515.0
20059,United Kingdom,1922,46546526.0
20060,United Kingdom,1923,46450703.0
20061,United Kingdom,1924,46355077.0
20062,United Kingdom,1925,46259648.0
20063,United Kingdom,1926,46164416.0
20064,United Kingdom,1927,46069379.0
20065,United Kingdom,1928,45974538.0
20066,United Kingdom,1929,45944804.0
20067,United Kingdom,1930,45980369.0
20068,United Kingdom,1931,46081427.0
20069,United Kingdom,1932,46248173.0
20070,United Kingdom,1933,46480802.0
20071,United Kingdom,1934,46714602.0
20072,United Kingdom,1935,46949578.0
20073,United Kingdom,1936,47185735.0
20074,United Kingdom,1937,47423081.0
20075,United Kingdom,1938,47661620.0
20076,United Kingdom,1939,47890226.0
20077,United Kingdom,1940,48108804.0
20078,United Kingdom,1941,48317261.0
20079,United Kingdom,1942,48515502.0
20080,United Kingdom,1943,48703433.0
20081,United Kingdom,1944,48892093.0
20082,United Kingdom,1945,49081483.0
20083,United Kingdom,1946,49271606.0
20084,United Kingdom,1947,49462466.0
20085,United Kingdom,1948,49654066.0
20086,United Kingdom,1949,49851583.0
20087,United Kingdom,1950,50055068.0
20088,United Kingdom,1951,50271908.0
20089,United Kingdom,1952,50484812.0
20090,United Kingdom,1953,50728620.0
20091,United Kingdom,1954,50969936.0
20092,United Kingdom,1955,51193272.0
20093,United Kingdom,1956,51421616.0
20094,United Kingdom,1957,51682404.0
20095,United Kingdom,1958,51960820.0
20096,United Kingdom,1959,52241648.0
20097,United Kingdom,1960,52543024.0
20098,United Kingdom,1961,52861256.0
20099,United Kingdom,1962,53183636.0
20100,United Kingdom,1963,53508520.0
20101,United Kingdom,1964,53861504.0
20102,United Kingdom,1965,54229568.0
20103,United Kingdom,1966,54560504.0
20104,United Kingdom,1967,54876360.0
20105,United Kingdom,1968,55169252.0
20106,United Kingdom,1969,55420524.0
20107,United Kingdom,1970,55650160.0
20108,United Kingdom,1971,55875904.0
20109,United Kingdom,1972,56057324.0
20110,United Kingdom,1973,56166632.0
20111,United Kingdom,1974,56233776.0
20112,United Kingdom,1975,56266852.0
20113,United Kingdom,1976,56263232.0
20114,United Kingdom,1977,56244844.0
20115,United Kingdom,1978,56240768.0
20116,United Kingdom,1979,56265152.0
20117,United Kingdom,1980,56326328.0
20118,United Kingdom,1981,56395848.0
20119,United Kingdom,1982,56450132.0
20120,United Kingdom,1983,56501616.0
20121,United Kingdom,1984,56568252.0
20122,United Kingdom,1985,56643040.0
20123,United Kingdom,1986,56721912.0
20124,United Kingdom,1987,56826320.0
20125,United Kingdom,1988,56952648.0
20126,United Kingdom,1989,57076096.0
20127,United Kingdom,1990,57210444.0
20128,United Kingdom,1991,57359452.0
20129,United Kingdom,1992,57509240.0
20130,United Kingdom,1993,57647464.0
20131,United Kingdom,1994,57785900.0
20132,United Kingdom,1995,57930364.0
20133,United Kingdom,1996,58078584.0
20134,United Kingdom,1997,58250192.0
20135,United Kingdom,1998,58438320.0
20136,United Kingdom,1999,58635204.0
20137,United Kingdom,2000,58850044.0
20138,United Kingdom,2001,59092016.0
20139,United Kingdom,2002,59355688.0
20140,United Kingdom,2003,59649800.0
20141,United Kingdom,2004,59995852.0
20142,United Kingdom,2005,60383740.0
20143,United Kingdom,2006,60803700.0
20144,United Kingdom,2007,61260680.0
20145,United Kingdom,2008,61742152.0
20146,United Kingdom,2009,62243384.0
20147,United Kingdom,2010,62760048.0
20148,United Kingdom,2011,63286360.0
20149,United Kingdom,2012,63808728.0
20150,United Kingdom,2013,64302296.0
20151,United Kingdom,2014,64773504.0
20152,United Kingdom,2015,65224368.0
20153,United Kingdom,2016,65655204.0
20154,United Kingdom,2017,66064808.0
20155,United Kingdom,2018,66432996.0
20156,United Kingdom,2019,66778660.0
20157,United Kingdom,2020,67059472.0
20158,United Kingdom,2021,67281040.0
20159,United Kingdom,2022,67508936.0
