,country,year,population
20160,United States,1900,74829905.0
20161,United States,1901,76245912.0
20162,United States,1902,77698268.0
20163,United States,1903,79187838.0
20164,United States,1904,80705948.0
20165,United States,1905,82253148.0
20166,United States,1906,83829992.0
20167,United States,1907,85437050.0
20168,United States,1908,87074899.0
20169,United States,1909,88647362.0
20170,United States,1910,90151889.0
20171,United States,1911,91585865.0
20172,United States,1912,92946603.0
20173,United States,1913,94231351.0
20174,United States,1914,95533839.0
20175,United States,1915,96854312.0
20176,United States,1916,98193018.0
20177,United States,1917,99550208.0
20178,United States,1918,100970120.0
20179,United States,1919,102419259.0
20180,United States,1920,103898175.0
20181,United States,1921,105407425.0
20182,United States,1922,106947578.0
20183,United States,1923,108519213.0
20184,United States,1924,110113945.0
20185,United States,1925,111732111.0
20186,United States,1926,113374057.0
20187,United States,1927,115040131.0
20188,United States,1928,116730690.0
20189,United States,1929,118261782.0
20190,United States,1930,119629770.0
20191,United States,1931,120830953.0
20192,United States,1932,121861566.0
20193,United States,1933,122717780.0
20194,United States,1934,123580010.0
20195,United States,1935,124448298.0
20196,United States,1936,125322686.0
20197,United States,1937,126203219.0
20198,United States,1938,127089938.0
20199,United States,1939,128160070.0
20200,United States,1940,129417367.0
20201,United States,1941,130865641.0
20202,United States,1942,132508765.0
20203,United States,1943,134350677.0
20204,United States,1944,136218191.0
20205,United States,1945,138111665.0
20206,United States,1946,140031458.0
20207,United States,1947,141977937.0
20208,United States,1948,143951473.0
20209,United States,1949,146051521.0
20210,United States,1950,148281552.0
20211,United States,1951,150598448.0
20212,United States,1952,152941728.0
20213,United States,1953,155451200.0
20214,United States,1954,158205872.0
20215,United States,1955,161136448.0
20216,United States,1956,164063408.0
20217,United States,1957,166949120.0
20218,United States,1958,170147104.0
20219,United States,1959,173324608.0
20220,United States,1960,176188576.0
20221,United States,1961,179087280.0
20222,United States,1962,181917808.0
20223,United States,1963,184649872.0
20224,United States,1964,187277376.0
20225,United States,1965,189703280.0
20226,United States,1966,191830976.0
20227,United States,1967,193782432.0
20228,United States,1968,195743424.0
20229,United States,1969,197859328.0
20230,United States,1970,200328336.0
20231,United States,1971,202907920.0
20232,United States,1972,205238384.0
20233,United States,1973,207314768.0
20234,United States,1974,209277968.0
20235,United States,1975,211274544.0
20236,United States,1976,213270032.0
20237,United States,1977,215437408.0
20238,United States,1978,217881440.0
20239,United States,1979,220463104.0
20240,United States,1980,223140016.0
20241,United States,1981,225654000.0
20242,United States,1982,228001424.0
20243,United States,1983,230389968.0
20244,United States,1984,232766288.0
20245,United States,1985,235146176.0
20246,United States,1986,237512784.0
20247,United States,1987,239853168.0
20248,United States,1988,242287808.0
20249,United States,1989,244954096.0
20250,United States,1990,248083728.0
20251,United States,1991,251560192.0
20252,United States,1992,255175328.0
20253,United States,1993,258779760.0
20254,United States,1994,262273584.0
20255,United States,1995,265660560.0
20256,United States,1996,268984352.0
20257,United States,1997,272395424.0
20258,United States,1998,275835008.0
20259,United States,1999,279181568.0
20260,United States,2000,282398560.0
20261,United States,2001,285470496.0
20262,United States,2002,288350240.0
20263,United States,2003,291109824.0
20264,United States,2004,293947872.0
20265,United States,2005,296842656.0
20266,United States,2006,299753088.0
20267,United States,2007,302743392.0
20268,United States,2008,305694912.0
20269,United States,2009,308512032.0
20270,United States,2010,311182848.0
20271,United States,2011,313876608.0
20272,United States,2012,316651328.0
20273,United States,2013,319375168.0
20274,United States,2014,322033952.0
20275,United States,2015,324607776.0
20276,United States,2016,327210208.0
20277,United States,2017,329791232.0
20278,United States,2018,332140032.0
20279,United States,2019,334319680.0
20280,United States,2020,335942016.0
20281,United States,2021,336997632.0
20282,United States,2022,338289856.0
